"sample_ID","batch","cell_num"
"ETiX-Day6-1","nextseq_1",4033
"ETiX-Day6-1","nextseq_2",5371
"ETiX-Day6-2","nextseq_1",968
"ETiX-Day6-2","nextseq_2",984
"ETiX-Day6-3","nextseq_1",1765
"ETiX-Day6-3","nextseq_2",2205
"ETiX-Day6-failed-1","nextseq_1",3176
"ETiX-Day6-failed-1","nextseq_2",3739
"ETiX-Day6-failed-2","nextseq_1",761
"ETiX-Day6-failed-2","nextseq_2",816
"ETiX-Day8-1","nextseq_1",12641
"ETiX-Day8-1","nextseq_2",15898
"ETiX-Day8-2","nextseq_1",6145
"ETiX-Day8-2","nextseq_2",6719
"ETiX-Day8-3","nextseq_1",6706
"ETiX-Day8-3","nextseq_2",7206
"ETiX-Day8-4","nextseq_1",6360
"ETiX-Day8-4","nextseq_2",8045
"ETiX-Day8-5","nextseq_1",4821
"ETiX-Day8-5","nextseq_2",5289
"ETiX-Day8-failed-1","nextseq_1",7081
"ETiX-Day8-failed-1","nextseq_2",8626
"ETiX-Day8-failed-2","nextseq_1",8530
"ETiX-Day8-failed-2","nextseq_2",8750
"ETiX-Day8-failed-3","nextseq_1",6565
"ETiX-Day8-failed-3","nextseq_2",6041
"ETiX-Day8-failed-4","nextseq_1",7295
"ETiX-Day8-failed-4","nextseq_2",8753
"ETiX-Day8-Pax6neg-1","nextseq_1",6943
"ETiX-Day8-Pax6neg-1","nextseq_2",7649
"ETiX-Day8-Pax6neg-2","nextseq_1",5533
"ETiX-Day8-Pax6neg-2","nextseq_2",6573
"NE-E7.5-1","nextseq_1",1181
"NE-E7.5-1","nextseq_2",1603
"NE-E7.5-2","nextseq_1",1625
"NE-E7.5-2","nextseq_2",2135
"NE-E7.5-3","nextseq_1",2525
"NE-E7.5-3","nextseq_2",3299
"NE-E8","nextseq_1",5603
"NE-E8","nextseq_2",7428
"NE-E8.5","nextseq_1",7126
"NE-E8.5","nextseq_2",7416
"NE-E8.75","nextseq_1",11459
"NE-E8.75","nextseq_2",16420
"NE-E9.5-1","nextseq_1",4711
"NE-E9.5-1","nextseq_2",4407
"NE-E9.5-2","nextseq_1",7058
"NE-E9.5-2","nextseq_2",9657
